conference,stadium_capacity,stadium_construction,division,latitude,longitude,city,state,name
Big Ten,107601,1927,fbs,42.26586873,-83.74872565,Ann Arbor,MI,Michigan
Big Ten,106572,1960,fbs,40.81215273,-77.85620213,University Park,PA,Penn State
Big Ten,104944,1922,fbs,40.00168569,-83.01972806,Columbus,OH,Ohio State
SEC,102733,1927,fbs,30.61009758,-96.34072923,College Station,TX,Texas A&M
SEC,102455,1921,fbs,35.95473437,-83.92533302,Knoxville,TN,Tennessee
SEC,102321,1924,fbs,30.4120124,-91.18381977,Baton Rouge,LA,LSU
SEC,101821,1929,fbs,33.20748994,-87.55039215,Tuscaloosa,AL,Alabama
Big 12,100119,1924,fbs,30.2836034,-97.73233652,Austin,TX,Texas
Pac-12,93607,1923,fbs,34.01400974,-118.2878959,Los Angeles,CA,Southern California
SEC,92746,1929,fbs,33.94982149,-83.3734417,Athens,GA,Georgia
Pac-12,92542,1921,fbs,34.16156959,-118.1676149,Pasadena,CA,UCLA
SEC,88548,1930,fbs,29.64986868,-82.34866619,Gainesville,FL,Florida
SEC,87451,1939,fbs,32.60236167,-85.48891068,Auburn,AL,Auburn
Big Ten,87091,1923,fbs,40.82048352,-96.70571566,Lincoln,NE,Nebraska
ACC,82300,1950,fbs,30.43754758,-84.30453398,Tallahassee,FL,Florida State
Big 12,82112,1925,fbs,35.20589959,-97.44255066,Norman,OK,Oklahoma
ACC,81500,1942,fbs,34.67874666,-82.8431797,Clemson,SC,Clemson
Independent,80795,1930,fbs,41.69842312,-86.23382449,Notre Dame,IN,Notre Dame
Big Ten,80321,1917,fbs,43.06993803,-89.41274643,Madison,WI,Wisconsin
SEC,80250,1934,fbs,33.97259115,-81.02021635,Columbia,SC,South Carolina
Big Ten,75005,1923,fbs,42.72816912,-84.48487535,East Lansing,MI,Michigan State
SEC,72000,1938,fbs,36.06785079,-94.17879581,Fayetteville,AR,Arkansas
Pac-12,71706,1958,fbs,33.426364,-111.932616,Tempe,AZ,Arizona State
SEC,71168,1927,fbs,38.9358953,-92.33311415,Columbia,MO,Missouri
Big Ten,70585,1929,fbs,41.65838894,-91.55147552,Iowa City,IA,Iowa
Mountain West,70561,1967,fbs,32.78305326,-117.1196008,San Diego,CA,San Diego State
Pac-12,70500,1920,fbs,47.65043054,-122.3029198,Seattle,WA,Washington
American,68532,2003,fbs,39.9007489,-75.16749144,Philadelphia,PA,Temple
ACC,68400,2001,fbs,40.44678377,-80.01575589,Pittsburgh,PA,Pittsburgh
ACC,66233,1965,fbs,37.21997428,-80.41805506,Blacksburg,VA,Virginia Tech
American,65857,1998,fbs,27.97599447,-82.50334918,Tampa,FL,USF
ACC,65326,1987,fbs,25.95793374,-80.23884058,Miami Gardens,FL,Miami
C-USA,65000,1993,fbs,29.41693713,-98.47890258,San Antonio,TX,UTSA
Independent,63725,1964,fbs,40.257488,-111.654439,Provo,UT,BYU
ACC,62980,1927,fbs,35.90698835,-79.04791832,Chapel Hill,NC,North Carolina
Pac-12,62717,1923,fbs,37.8706866,-122.2507095,Berkeley,CA,California
American,62380,1965,fbs,35.12085692,-89.97805741,Memphis,TN,Memphis
SEC,62093,1973,fbs,38.02262168,-84.50520515,Lexington,KY,Kentucky
Big 12,61500,1975,fbs,42.01400541,-93.63580942,Ames,IA,Iowa State
ACC,61500,1931,fbs,38.03112373,-78.51370811,Charlottesville,VA,Virginia
SEC,61337,1914,fbs,33.4562306,-88.79342437,Starkville,MS,Mississippi State
Big 12,60862,1947,fbs,33.5910283,-101.8729377,Lubbock,TX,Texas Tech
Big Ten,60670,1923,fbs,40.09930573,-88.23598623,Champaign,IL,Illinois
SEC,60580,1915,fbs,34.3621543,-89.53414626,Oxford,MS,Mississippi
Big 12,60218,1919,fbs,36.12570866,-97.06650496,Stillwater,OK,Oklahoma State
Big 12,60000,1980,fbs,39.65221992,-79.9551753,Morgantown,WV,West Virginia
ACC,57583,1966,fbs,35.80075968,-78.71948719,Raleigh,NC,NC State
Big Ten,56400,1924,fbs,40.434323,-86.918485,West Lafayette,IN,Purdue
ACC,55000,1913,fbs,33.77255692,-84.39285278,Atlanta,GA,Georgia Tech
ACC,55000,1998,fbs,38.20542169,-85.75810562,Louisville,KY,Louisville
Pac-12,54000,1967,fbs,44.05827272,-123.0685043,Eugene,OR,Oregon
Big Ten,52959,1960,fbs,39.18090913,-86.52557373,Bloomington,IN,Indiana
Big Ten,52525,2009,fbs,44.97652497,-93.22457582,Minneapolis,MN,Minnesota
Big Ten,52454,1994,fbs,40.51378289,-74.46504457,Piscataway,NJ,Rutgers
Pac-12,51811,1928,fbs,32.22834023,-110.9490395,Tucson,AZ,Arizona
Big Ten,51802,1950,fbs,38.99120275,-76.94731173,College Park,MD,Maryland
C-USA,51500,1963,fbs,31.77334531,-106.5078968,El Paso,TX,UTEP
Pac-12,50183,1924,fbs,40.00939837,-105.2668869,Boulder,CO,Colorado
Big 12,50071,1921,fbs,38.96294599,-95.246315,Lawrence,KS,Kansas
Mountain West,50000,1975,fbs,21.37278299,-157.9299688,Honolulu,HI,Hawaii
American,50000,1963,fbs,35.5964258,-77.36522913,Greenville,NC,East Carolina
Big 12,50000,1968,fbs,39.20186362,-96.59379244,Manhattan,KS,Kansas State
Pac-12,50000,2006,fbs,37.43472641,-122.1610165,Stanford,CA,Stanford
ACC,49250,1980,fbs,43.03613282,-76.13651991,Syracuse,NY,Syracuse
Big Ten,47130,1926,fbs,42.06539967,-87.69249558,Evanston,IL,Northwestern
C-USA,47000,1950,fbs,29.71623403,-95.40926456,Houston,TX,Rice
Mountain West,46692,1962,fbs,38.99690743,-104.843688,Colorado Springs,CO,Air Force
Pac-12,45674,1953,fbs,44.55947684,-123.2814074,Corvallis,OR,Oregon State
American,45323,2007,fbs,28.60795886,-81.19299889,Orlando,FL,UCF
Big 12,45140,2014,fbs,31.55866264,-97.11560011,Waco,TX,Baylor
Pac-12,45017,1998,fbs,40.75994782,-111.848824,Salt Lake City,UT,Utah
Big 12,45000,1929,fbs,32.70991597,-97.36799598,Fort Worth,TX,TCU
ACC,44500,1957,fbs,42.33510835,-71.16647243,Chestnut Hill,MA,Boston College
Mountain West,41031,1980,fbs,36.8143197,-119.7581016,Fresno,CA,Fresno State
SEC,40350,1922,fbs,36.1435585,-86.80877209,Nashville,TN,Vanderbilt
American,40000,2003,fbs,41.75988428,-72.61894226,East Hartford,CT,Connecticut
American,40000,1924,fbs,39.13128425,-84.51626144,Cincinnati,OH,Cincinnati
American,40000,2014,fbs,29.72176796,-95.34909841,Houston,TX,Houston
Mountain West,39224,1960,fbs,35.06761048,-106.6281028,Albuquerque,NM,New Mexico
C-USA,38019,1991,fbs,38.42486536,-82.42185831,Huntington,WV,Marshall
Independent,38000,1924,fbs,41.38708043,-73.96408081,West Point,NY,Army
Mountain West,37000,1970,fbs,43.60270805,-116.1959124,Boise,ID,Boise State
